track_name,track_id,artist_name,artist_id,album_name,popularity,duration_ms,explicit,artist_genres
Instant Love,0SYKAyKuJ44it3586U8XWS,Marble Arch,6Oy6CwwhQqijvzAjpkoazG,Children of the Slump,0,250577,False,"['dream pop', 'shoegaze']"
Conduct 2,4jXk0iIhcLulPYZ5HU2K8P,HOUNDSds,7siqsDn4ZFMjJ9oM6vk2dE,Conduct,12,284650,False,"['dream pop', 'shoegaze', 'neo-psychedelic']"
Old Town,0BTaF7WdhyGDuYoQJtv6vb,Say Sue Me,4tvbo17gXpYgSr8sTlkaby,Where We Were Together,29,233410,True,"['dream pop', 'jangle pop']"
Drunk In LA,3AJsTNjbYSH4odSmP1I6ox,Beach House,56ZTgzPBDge0OvCGgMO3OY,7,0,239306,False,['dream pop']
Football,7I2XytQ23omSfUfG7JSjYT,CQ Wrestling,5S4qUw22ZF7gTPUEx61SyC,Football,23,203902,False,[]
Sun's Out,7M9LKoGmelhGBj5jQACPd8,Hoops,12qS7lypMdpvASeNnFXtmN,Routines,39,169016,False,"['dream pop', 'surf rock', 'jangle pop']"
Pendulum,4DN8w5wT01BCgJQdjvMaGi,Pure Bathing Culture,4WrK3qZXMjfwl0dQj09QSD,Moon Tides,0,237582,False,"['dream pop', 'chillwave']"
Day Dream,4gm0sPmthOSICA82Dtol6D,Beach Fossils,1bwUhKRmEkOZ1wuTnV9XjC,Beach Fossils,0,184146,False,"['dream pop', 'surf rock', 'shoegaze']"
"Us, Together",0tx9tLDxgsFPbkwXV0mDUy,Yumi Zouma,4tPyCwWrsvZ8OKYl7QRavL,Willowbank,0,231546,False,['dream pop']
Always,5Omjn5QunxCALPISaMJ5K6,Melted Toys,08vPDDNdELvgKzegslTm7s,Melted Toys,0,242498,False,"['dream pop', 'shoegaze']"
Pulling Our Weight,0ANkVKMExMdJxl1g88fWJT,The Radio Dept.,0utS63XytOEVN1EtzWhJpG,Passive Aggressive: Singles 2002-2010,0,201066,False,"['dream pop', 'shoegaze']"
Cannons,2q4gGYNmNYNyqgpVmGJH0c,Youth Lagoon,1Z2KInfSmPOzAIYyiaXeti,The Year of Hibernation,0,224773,False,"['dream pop', 'chillwave']"
Adversity,0HPCLfG38YNyay8Erznli1,Beach Fossils,1bwUhKRmEkOZ1wuTnV9XjC,What A Pleasure,0,243306,False,"['dream pop', 'surf rock', 'shoegaze']"
Leaves,1Rw3gR78vpdrymyM3AhZ5x,Fanclub,2XxKRqSS7wels4dpUb5N1h,Leaves,0,195480,False,"['dream pop', 'shoegaze']"
Brain Dead,6lUJAypVpKhMznxO2sAPqd,Triathalon,2SaIA1enj83vEmJikZdjQ3,Lo-Tide,0,186910,False,['bedroom pop']
Darling,7Lpi2otSpwKiTpFsdDKEzP,Real Estate,41SQP16hv1TioVYqdckmxT,Darling,0,260386,False,"['jangle pop', 'dream pop', 'surf rock']"
